filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
include/llvm/Analysis/StackLifetime.h,16,0,0.0,2,0,0.0,7,0,0.0
include/llvm/Analysis/StackSafetyAnalysis.h,4,0,0.0,0,0,,10,0,0.0
include/llvm/Analysis/SyncDependenceAnalysis.h,8,0,0.0,0,0,,5,0,0.0
include/llvm/Analysis/TargetFolder.h,132,0,0.0,44,0,0.0,46,0,0.0
include/llvm/Analysis/TargetLibraryInfo.h,80,0,0.0,26,0,0.0,26,0,0.0
include/llvm/Analysis/TargetTransformInfo.h,313,0,0.0,4,0,0.0,157,0,0.0
include/llvm/Analysis/TargetTransformInfoImpl.h,504,0,0.0,317,0,0.0,151,0,0.0
include/llvm/Analysis/Trace.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/Analysis/TypeBasedAliasAnalysis.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/Utils/ImportedFunctionsInliningStatistics.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/Utils/Local.h,39,0,0.0,34,0,0.0,1,0,0.0
include/llvm/Analysis/ValueLattice.h,207,0,0.0,149,0,0.0,31,0,0.0
include/llvm/Analysis/ValueTracking.h,17,0,0.0,6,0,0.0,4,0,0.0
include/llvm/Analysis/VecFuncs.def,325,0,0.0,0,0,,0,0,
include/llvm/Analysis/VectorUtils.h,107,0,0.0,76,0,0.0,22,0,0.0
include/llvm/AsmParser/LLLexer.h,13,7,0.5379999999999999,0,0,,11,6,0.545
include/llvm/AsmParser/LLParser.h,81,16,0.198,33,1,0.03,24,7,0.292
include/llvm/AsmParser/Parser.h,1,1,1.0,0,0,,1,1,1.0
include/llvm/BinaryFormat/COFF.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/BinaryFormat/Dwarf.def,850,0,0.0,22,0,0.0,0,0,
include/llvm/BinaryFormat/Dwarf.h,60,0,0.0,136,0,0.0,16,0,0.0
include/llvm/BinaryFormat/DynamicTags.def,115,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELF.h,4,0,0.0,0,0,,2,0,0.0
include/llvm/BinaryFormat/ELFRelocs/AArch64.def,210,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/AMDGPU.def,14,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/ARC.def,69,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/ARM.def,135,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/AVR.def,36,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/BPF.def,6,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/CSKY.def,69,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/Hexagon.def,100,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/Lanai.def,7,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/LoongArch.def,52,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/M68k.def,43,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/MSP430.def,11,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/Mips.def,112,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/PowerPC.def,73,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/PowerPC64.def,102,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/RISCV.def,51,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/Sparc.def,84,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/SystemZ.def,66,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/VE.def,29,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/i386.def,41,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/ELFRelocs/x86_64.def,40,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/MachO.h,265,0,0.0,0,0,,44,0,0.0
include/llvm/BinaryFormat/Magic.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/BinaryFormat/Minidump.h,7,0,0.0,0,0,,4,0,0.0
include/llvm/BinaryFormat/MsgPackDocument.h,115,0,0.0,41,0,0.0,38,0,0.0
include/llvm/BinaryFormat/MsgPackReader.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/BinaryFormat/Swift.def,10,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/Wasm.h,4,0,0.0,6,0,0.0,2,0,0.0
include/llvm/BinaryFormat/WasmRelocs.def,26,0,0.0,0,0,,0,0,
include/llvm/BinaryFormat/WasmTraits.h,17,0,0.0,4,0,0.0,4,0,0.0
include/llvm/BinaryFormat/XCOFF.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/Bitcode/BitcodeAnalyzer.h,4,0,0.0,0,0,,2,0,0.0
include/llvm/Bitcode/BitcodeReader.h,38,8,0.21100000000000002,32,2,0.062,9,2,0.222
include/llvm/Bitstream/BitCodes.h,39,36,0.9229999999999999,39,24,0.615,17,17,1.0
include/llvm/Bitstream/BitstreamReader.h,215,175,0.8140000000000001,114,73,0.64,39,35,0.897
include/llvm/Bitstream/BitstreamWriter.h,268,230,0.858,148,88,0.595,55,42,0.764
include/llvm/DebugInfo/CodeView/AppendingTypeTableBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/CVRecord.h,48,0,0.0,18,0,0.0,20,0,0.0
include/llvm/DebugInfo/CodeView/CodeView.h,9,0,0.0,2,0,0.0,6,0,0.0
include/llvm/DebugInfo/CodeView/CodeViewError.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/CodeViewRecordIO.h,107,0,0.0,114,0,0.0,46,0,0.0
include/llvm/DebugInfo/CodeView/CodeViewRegisters.def,591,0,0.0,0,0,,0,0,
include/llvm/DebugInfo/CodeView/CodeViewSymbols.def,196,0,0.0,232,0,0.0,160,0,0.0
include/llvm/DebugInfo/CodeView/CodeViewTypes.def,39,0,0.0,78,0,0.0,105,0,0.0
include/llvm/DebugInfo/CodeView/ContinuationRecordBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/DebugChecksumsSubsection.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/CodeView/DebugCrossExSubsection.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/DebugCrossImpSubsection.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/DebugFrameDataSubsection.h,5,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/DebugInlineeLinesSubsection.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/DebugLinesSubsection.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/CodeView/DebugStringTableSubsection.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/DebugSubsection.h,5,0,0.0,0,0,,5,0,0.0
include/llvm/DebugInfo/CodeView/DebugSubsectionRecord.h,6,0,0.0,2,0,0.0,2,0,0.0
include/llvm/DebugInfo/CodeView/DebugSymbolsSubsection.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/DebugUnknownSubsection.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/GlobalTypeTableBuilder.h,18,0,0.0,16,0,0.0,3,0,0.0
include/llvm/DebugInfo/CodeView/Line.h,7,0,0.0,0,0,,6,0,0.0
include/llvm/DebugInfo/CodeView/MergingTypeTableBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/RecordSerialization.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/SimpleTypeSerializer.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/CodeView/StringsAndChecksums.h,15,0,0.0,14,0,0.0,6,0,0.0
include/llvm/DebugInfo/CodeView/SymbolDeserializer.h,36,0,0.0,12,0,0.0,15,0,0.0
include/llvm/DebugInfo/CodeView/SymbolRecord.h,210,0,0.0,35,0,0.0,76,0,0.0
include/llvm/DebugInfo/CodeView/SymbolRecordHelpers.h,7,0,0.0,2,0,0.0,1,0,0.0
include/llvm/DebugInfo/CodeView/SymbolRecordMapping.h,4,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/SymbolSerializer.h,16,0,0.0,2,0,0.0,4,0,0.0
include/llvm/DebugInfo/CodeView/SymbolVisitorCallbackPipeline.h,23,0,0.0,16,0,0.0,6,0,0.0
include/llvm/DebugInfo/CodeView/SymbolVisitorCallbacks.h,7,0,0.0,0,0,,5,0,0.0
include/llvm/DebugInfo/CodeView/TypeCollection.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/TypeDeserializer.h,54,0,0.0,12,0,0.0,37,0,0.0
include/llvm/DebugInfo/CodeView/TypeDumpVisitor.h,2,0,0.0,2,0,0.0,1,0,0.0
include/llvm/DebugInfo/CodeView/TypeHashing.h,20,0,0.0,4,0,0.0,11,0,0.0
include/llvm/DebugInfo/CodeView/TypeIndex.h,55,0,0.0,6,0,0.0,27,0,0.0
include/llvm/DebugInfo/CodeView/TypeRecord.h,203,0,0.0,10,0,0.0,175,0,0.0
include/llvm/DebugInfo/CodeView/TypeRecordHelpers.h,6,0,0.0,2,0,0.0,1,0,0.0
include/llvm/DebugInfo/CodeView/TypeRecordMapping.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/CodeView/TypeVisitorCallbackPipeline.h,48,0,0.0,32,0,0.0,34,0,0.0
include/llvm/DebugInfo/CodeView/TypeVisitorCallbacks.h,12,0,0.0,0,0,,8,0,0.0
include/llvm/DebugInfo/DIContext.h,26,0,0.0,12,0,0.0,13,0,0.0
include/llvm/DebugInfo/DWARF/DWARFAbbreviationDeclaration.h,35,0,0.0,16,0,0.0,15,0,0.0
include/llvm/DebugInfo/DWARF/DWARFAcceleratorTable.h,81,0,0.0,14,0,0.0,51,0,0.0
include/llvm/DebugInfo/DWARF/DWARFAddressRange.h,18,0,0.0,16,0,0.0,5,0,0.0
include/llvm/DebugInfo/DWARF/DWARFCompileUnit.h,5,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/DWARF/DWARFContext.h,94,0,0.0,10,0,0.0,35,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDataExtractor.h,22,0,0.0,0,0,,8,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugAbbrev.h,4,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugAddr.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugArangeSet.h,6,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugAranges.h,14,0,0.0,6,0,0.0,5,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugFrame.h,81,0,0.0,6,0,0.0,48,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugInfoEntry.h,15,0,0.0,10,0,0.0,7,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugLine.h,29,0,0.0,16,0,0.0,18,0,0.0
