File Name,Assert Count
test\Analysis\CostModel\AArch64\store.ll,0
test\Analysis\CostModel\AArch64\vector-reduce.ll,0
test\Analysis\CostModel\AMDGPU\add-sub.ll,0
test\Analysis\CostModel\AMDGPU\addrspacecast.ll,0
test\Analysis\CostModel\AMDGPU\bit-ops.ll,0
test\Analysis\CostModel\AMDGPU\br.ll,2
test\Analysis\CostModel\AMDGPU\extractelement.ll,0
test\Analysis\CostModel\AMDGPU\fabs.ll,0
test\Analysis\CostModel\AMDGPU\fadd.ll,0
test\Analysis\CostModel\AMDGPU\fdiv.ll,0
test\Analysis\CostModel\AMDGPU\fmul.ll,0
test\Analysis\CostModel\AMDGPU\fsub.ll,0
test\Analysis\CostModel\AMDGPU\insertelement.ll,0
test\Analysis\CostModel\AMDGPU\mul.ll,0
test\Analysis\CostModel\AMDGPU\shifts.ll,0
test\Analysis\CostModel\AMDGPU\shufflevector.ll,0
test\Analysis\CostModel\ARM\arith.ll,0
test\Analysis\CostModel\ARM\cast.ll,0
test\Analysis\CostModel\ARM\divrem.ll,0
test\Analysis\CostModel\ARM\fparith.ll,0
test\Analysis\CostModel\ARM\gep.ll,8
test\Analysis\CostModel\ARM\insertelement.ll,0
test\Analysis\CostModel\ARM\load_store.ll,0
test\Analysis\CostModel\ARM\memcpy.ll,0
test\Analysis\CostModel\ARM\select.ll,0
test\Analysis\CostModel\ARM\shuffle.ll,0
test\Analysis\CostModel\PowerPC\cmp-expanded.ll,0
test\Analysis\CostModel\PowerPC\ext.ll,0
test\Analysis\CostModel\PowerPC\insert_extract.ll,2
test\Analysis\CostModel\PowerPC\load_store.ll,0
test\Analysis\CostModel\PowerPC\popcnt.ll,1
test\Analysis\CostModel\PowerPC\unal-vec-ldst.ll,44
test\Analysis\CostModel\PowerPC\unaligned_ld_st.ll,1
test\Analysis\CostModel\PowerPC\vector_unit.ll,3
test\Analysis\CostModel\PowerPC\vsr_load_32_64.ll,0
test\Analysis\CostModel\RISCV\gep.ll,7
test\Analysis\CostModel\SystemZ\cmp-ext-01.ll,0
test\Analysis\CostModel\SystemZ\cmp-ext-02.ll,0
test\Analysis\CostModel\SystemZ\cmp-mem.ll,0
test\Analysis\CostModel\SystemZ\cmp-tofp-scalar.ll,0
test\Analysis\CostModel\SystemZ\cmp-tofp.ll,0
test\Analysis\CostModel\SystemZ\cmpsel.ll,0
test\Analysis\CostModel\SystemZ\divrem-const.ll,0
test\Analysis\CostModel\SystemZ\divrem-pow2.ll,0
test\Analysis\CostModel\SystemZ\divrem-reg.ll,0
test\Analysis\CostModel\SystemZ\ext-load.ll,0
test\Analysis\CostModel\SystemZ\ext-of-icmp-cost.ll,0
test\Analysis\CostModel\SystemZ\fp-arith.ll,0
test\Analysis\CostModel\SystemZ\fp-cast.ll,0
test\Analysis\CostModel\SystemZ\int-arith.ll,0
test\Analysis\CostModel\SystemZ\int-cast.ll,0
test\Analysis\CostModel\SystemZ\int-operands-extcost.ll,0
test\Analysis\CostModel\SystemZ\intrinsic-cost-crash.ll,0
test\Analysis\CostModel\SystemZ\intrinsics.ll,0
test\Analysis\CostModel\SystemZ\load-and-test.ll,0
test\Analysis\CostModel\SystemZ\load-ptr-cmp-fold.ll,0
test\Analysis\CostModel\SystemZ\load_store.ll,0
test\Analysis\CostModel\SystemZ\logic-miscext3.ll,0
test\Analysis\CostModel\SystemZ\logical.ll,0
test\Analysis\CostModel\SystemZ\memop-folding-int-arith.ll,0
test\Analysis\CostModel\SystemZ\numvectorregs.ll,0
test\Analysis\CostModel\SystemZ\scalar-cmp-cmp-log-sel.ll,0
test\Analysis\CostModel\SystemZ\shuffle.ll,0
test\Analysis\CostModel\SystemZ\vectorinstrs.ll,0
test\Analysis\CostModel\X86\aggregates.ll,0
test\Analysis\CostModel\X86\alternate-shuffle-cost.ll,38
test\Analysis\CostModel\X86\arith-fix.ll,0
test\Analysis\CostModel\X86\arith-fma.ll,0
test\Analysis\CostModel\X86\arith-fp.ll,0
test\Analysis\CostModel\X86\arith-overflow.ll,0
test\Analysis\CostModel\X86\arith-ssat.ll,0
test\Analysis\CostModel\X86\arith-usat.ll,0
test\Analysis\CostModel\X86\arith.ll,0
test\Analysis\CostModel\X86\bitreverse.ll,0
test\Analysis\CostModel\X86\bswap.ll,0
test\Analysis\CostModel\X86\cast.ll,0
test\Analysis\CostModel\X86\costmodel.ll,0
test\Analysis\CostModel\X86\ctlz.ll,0
test\Analysis\CostModel\X86\ctpop.ll,0
test\Analysis\CostModel\X86\cttz.ll,0
